cricsheet_name,games,full name,bat_role_det,bat_role,bat_h,bowl_role_det,bowl_role,bowl_h,team,other
AF Milne,5,Adam Milne,Bowler,bowler,right,right arm fast,pace,right,New Zealand,
HB Shipley,8,Henry Shipley,Bowler,bowler,right,right arm medium fast,pace,right,New Zealand,
CJ Bowes,4,Chad Bowes,Top order batter,batter,right,right arm medium,pace,right,New Zealand,
R Ravindra,5,Rachin Ravindra,Batting allrounder,allrounder,left,slow left arm orthodox,spin,left,New Zealand,
CE McConchie,3,Cole McConchie,Allrounder,allrounder,right,right arm offbreak,spin,right,New Zealand,
BG Lister,1,Ben Lister,Bowler,bowler,right,left arm medium,pace,left,New Zealand,
SJ Myburgh,7,Stephan Myburgh,Opening batter,batter,left,right arm offbreak,spin,right,Netherlands,
MP O'Dowd,29,Max O'Dowd,Opening batter,batter,right,right arm offbreak,spin,right,Netherlands,
BN Cooper,3,Ben Cooper,Middle order batter,batter,left,right arm medium,pace,right,Netherlands,
BFW de Leede,26,Bas de Leede,Batting allrounder,allrounder,right,right arm fast medium,pace,right,Netherlands,
PM Seelaar,14,Pieter Seelaar,Allrounder,allrounder,right,slow left arm orthodox,spin,left,Netherlands,
SA Edwards,32,Scott Edwards,Wicketkeeper batter,batter,right,,,,Netherlands,wk
Saqib Zulfiqar,11,Saqib Zulfiqar,Bowling allrounder,allrounder,right,legbreak,spin,right,Netherlands,
LV van Beek,23,Logan van Beek,Bowler,bowler,right,right arm medium fast,pace,right,Netherlands,
T van der Gugten,4,Timm van der Gugten,Bowler,bowler,right,right arm fast medium,pace,right,Netherlands,
FJ Klaassen,15,Fred Klaassen,Bowler,bowler,right,left arm fast medium,pace,left,Netherlands,
BD Glover,8,Brandon Glover,Bowler,bowler,right,right arm fast,pace,right,Netherlands,
Musa Ahmed,13,Musa Ahmed,Opening batter,batter,left,legbreak,spin,right,Netherlands,
VJ Kingma,13,Vivian Kingma,Bowler,bowler,right,right arm medium fast,pace,right,Netherlands,
Vikramjit Singh,25,Vikramjit Singh,Opening batter,batter,left,right arm medium,pace,right,Netherlands,
MJG Rippon,3,Michael Rippon,Allrounder,allrounder,right,left arm wrist spin,spin,left,Netherlands,
PRP Boissevain,5,Philippe Boissevain,Bowler,bowler,right,legbreak googly,spin,right,Netherlands,
A Dutt,23,Aryan Dutt,Bowler,bowler,right,right arm offbreak,spin,right,Netherlands,
C Floyd,9,Clayton Floyd,Bowler,bowler,right,slow left arm orthodox,spin,left,Netherlands,
CN Ackermann,7,Colin Ackermann,Batting allrounder,allrounder,right,right arm offbreak,spin,right,Netherlands,
RE van der Merwe,1,Roelof van der Merwe,Bowling allrounder,allrounder,right,slow left arm orthodox,spin,left,Netherlands,
BHG Gorlee,3,Boris Gorlee,Batting allrounder,allrounder,right,right arm offbreak,spin,right,Netherlands,
R Klein,12,Ryan Klein,Bowler,bowler,right,right arm medium fast,pace,right,Netherlands,
TLW Cooper,9,Tom Cooper,Middle order batter,batter,right,right arm offbreak,spin,right,Netherlands,
S Snater,2,Shane Snater,Bowler,bowler,right,right arm fast medium,pace,right,Netherlands,
AT Nidamanuru,20,Teja Nidamanuru,Allrounder,allrounder,right,right arm offbreak,spin,right,Netherlands,
TJG Pringle,4,Tim Pringle,Allrounder,allrounder,right,slow left arm orthodox,spin,left,Netherlands,
PA van Meekeren,6,Paul van Meekeren,Bowler,bowler,right,right arm fast medium,pace,right,Netherlands,
W Barresi,13,Wesley Barresi,Batter,batter,right,right arm offbreak,spin,right,Netherlands,wk
Shariz Ahmad,11,Shariz Ahmad,Bowler,bowler,left,legbreak googly,spin,right,Netherlands,
NRJ Croes,1,Noah Croes,Batter,batter,right,,,,Netherlands,
Mohammad Shahzad,2,Mohammad Shahzad,Wicketkeeper batter,batter,right,,,,Afghanistan,wk
Hazratullah,8,Hazratullah Zazai,Opening batter,batter,left,slow left arm orthodox,spin,left,Afghanistan,
Rahmat Shah,33,Rahmat Shah,Allrounder,allrounder,right,legbreak googly,spin,right,Afghanistan,
Hashmatullah Shahidi,28,Hashmatullah Shahidi,Top order batter,batter,left,right arm offbreak,spin,right,Afghanistan,
Mohammad Nabi,30,Mohammad Nabi,Allrounder,allrounder,right,right arm offbreak,spin,right,Afghanistan,
Gulbadin Naib,21,Gulbadin Naib,Batting allrounder,allrounder,right,right arm medium fast,pace,right,Afghanistan,
Najibullah Zadran,32,Najibullah Zadran,Middle order batter,batter,left,right arm offbreak,spin,right,Afghanistan,
Rashid Khan,30,Rashid Khan,Bowling allrounder,allrounder,right,legbreak googly,spin,right,Afghanistan,
Dawlat Zadran,5,Dawlat Zadran,Bowler,bowler,right,right arm fast medium,pace,right,Afghanistan,
Mujeeb Ur Rahman,31,Mujeeb Ur Rahman,Bowler,bowler,right,right arm offbreak,spin,right,Afghanistan,
Hamid Hassan,5,Hamid Hassan,Bowler,bowler,right,right arm fast,pace,right,Afghanistan,
Noor Ali Zadran,3,Noor Ali Zadran,Opening batter,batter,right,right arm medium fast,pace,right,Afghanistan,
Ikram Alikhil,10,Ikram Alikhil,Wicketkeeper batter,batter,left,,,,Afghanistan,wk
Aftab Alam,3,Aftab Alam,Bowler,bowler,right,right arm medium fast,pace,right,Afghanistan,
Asghar Stanikzai,12,Asghar Stanikzai,Middle order batter,batter,right,right arm medium fast,pace,right,Afghanistan,
Samiullah Shenwari,3,Samiullah Shinwari,Allrounder,allrounder,right,legbreak,spin,right,Afghanistan,
Sayed Shirzad,1,Sayed Shirzad,Bowler,bowler,right,left arm medium,pace,left,Afghanistan,
Javed Ahmadi,5,Javed Ahmadi,Top order batter,batter,right,right arm offbreak,spin,right,Afghanistan,
Naveen-ul-Haq,5,Naveen-ul-Haq,Bowler,bowler,right,right arm medium fast,pace,right,Afghanistan,
Sharafuddin Ashraf,4,Sharafuddin Ashraf,Allrounder,allrounder,right,slow left arm orthodox,spin,left,Afghanistan,
Ibrahim Zadran,14,Ibrahim Zadran,Opening batter,batter,right,right arm medium fast,pace,right,Afghanistan,
Yamin Ahmadzai,6,Yamin Ahmadzai,Bowler,bowler,right,right arm medium fast,pace,right,Afghanistan,
Rahmanullah Gurbaz,21,Rahmanullah Gurbaz,Wicketkeeper batter,batter,right,,,,Afghanistan,wk
Azmatullah Omarzai,12,Azmatullah Omarzai,Allrounder,allrounder,right,right arm medium fast,pace,right,Afghanistan,
Fazalhaq Farooqi,16,Fazalhaq Farooqi,Bowler,bowler,right,left arm fast medium,pace,left,Afghanistan,
Riaz Hassan,3,Riaz Hassan,Batter,batter,right,,,,Afghanistan,
Fareed Ahmad,9,Fareed Ahmad,Bowler,bowler,left,left arm fast medium,pace,left,Afghanistan,
Usman Ghani,2,Usman Ghani,Opening batter,batter,right,,,,Afghanistan,
Shahidullah,1,Shahidullah,Batting allrounder,allrounder,left,slow left arm orthodox,spin,left,Afghanistan,
Qais Ahmad,1,Qais Ahmad,Bowler,bowler,right,legbreak,spin,right,Afghanistan,
Noor Ahmad,3,Noor Ahmad,Bowler,bowler,right,left arm wrist spin,spin,left,Afghanistan,
Mohammad Saleem,2,Mohammad Saleem,Bowler,bowler,right,right arm fast,pace,right,Afghanistan,
Abdul Rahman,1,Abdul Rahman,Bowler,bowler,right,right arm fast medium,pace,right,Afghanistan,
Zia-ur-Rehman,1,Zia-ur-Rehman,Bowler,bowler,right,slow left arm orthodox,spin,left,Afghanistan,
Q de Kock,34,Quinton de Kock,Wicketkeeper batter,batter,left,,,,South Africa,wk
HM Amla,7,Hashim Amla,Top order batter,batter,right,right arm medium,pace,right,South Africa,
AK Markram,32,Aiden Markram,Opening batter,batter,right,right arm offbreak,spin,right,South Africa,
F du Plessis,9,Faf du Plessis,Middle order batter,batter,right,legbreak,spin,right,South Africa,
HE van der Dussen,36,Rassie van der Dussen,Top order batter,batter,right,legbreak,spin,right,South Africa,
JP Duminy,5,Jean-Paul Duminy,Batting allrounder,allrounder,left,right arm offbreak,spin,right,South Africa,
D Pretorius,8,Dwaine Pretorius,Bowling allrounder,allrounder,right,right arm medium fast,pace,right,South Africa,
AL Phehlukwayo,31,Andile Phehlukwayo,Bowling allrounder,allrounder,left,right arm medium fast,pace,right,South Africa,
K Rabada,23,Kagiso Rabada,Bowler,bowler,left,right arm fast,pace,right,South Africa,
L Ngidi,27,Lungi Ngidi,Bowler,bowler,right,right arm fast medium,pace,right,South Africa,
Imran Tahir,9,Imran Tahir,Bowler,bowler,right,legbreak googly,spin,right,South Africa,
DA Miller,35,David Miller,Middle order batter,batter,left,right arm offbreak,spin,right,South Africa,
CH Morris,8,Chris Morris,Bowling allrounder,allrounder,right,right arm fast medium,pace,right,South Africa,
T Shamsi,29,Tabraiz Shamsi,Bowler,bowler,right,left arm wrist spin,spin,left,South Africa,
BE Hendricks,6,Beuran Hendricks,Bowler,bowler,left,left arm fast medium,pace,left,South Africa,
JN Malan,23,Janneman Malan,Top order batter,batter,right,legbreak,spin,right,South Africa,
T Bavuma,24,Temba Bavuma,Middle order batter,batter,right,right arm medium,pace,right,South Africa,
K Verreynne,12,Kyle Verreynne,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,South Africa,wk
H Klaasen,22,Heinrich Klaasen,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,South Africa,wk
KA Maharaj,23,Keshav Maharaj,Bowler,bowler,right,slow left arm orthodox,spin,left,South Africa,
A Nortje,17,Anrich Nortje,Bowler,bowler,right,right arm fast,pace,right,South Africa,
JT Smuts,6,JJ Smuts,Batting allrounder,allrounder,right,slow left arm orthodox,spin,left,South Africa,
L Sipamla,5,Lutho Sipamla,Bowler,bowler,right,right arm fast medium,pace,right,South Africa,
DM Dupavillon,2,Daryn Dupavillon,Bowler,bowler,right,right arm fast,pace,right,South Africa,
RR Hendricks,9,Reeza Hendricks,Opening batter,batter,right,right arm offbreak,spin,right,South Africa,
BC Fortuin,5,Bjorn Fortuin,Bowler,bowler,right,slow left arm orthodox,spin,left,South Africa,
LB Williams,1,Lizaad Williams,Bowler,bowler,left,right arm medium fast,pace,right,South Africa,
PWA Mulder,2,Wiaan Mulder,Allrounder,allrounder,right,right arm medium,pace,right,South Africa,
GF Linde,2,George Linde,Allrounder,allrounder,left,slow left arm orthodox,spin,left,South Africa,
M Jansen,9,Marco Jansen,Bowling allrounder,allrounder,right,left arm medium fast,pace,left,South Africa,
WD Parnell,8,Wayne Parnell,Bowler,bowler,left,left arm medium fast,pace,left,South Africa,
SSB Magala,7,Sisanda Magala,Bowler,bowler,right,right arm fast medium,pace,right,South Africa,
Zubayr Hamza,1,Zubayr Hamza,Batter,batter,right,legbreak,spin,right,South Africa,
K Zondo,1,Khaya Zondo,Batter,batter,right,right arm offbreak,spin,right,South Africa,
RD Rickelton,2,Ryan Rickelton,Wicketkeeper batter,batter,left,,,,South Africa,wk
T de Zorzi,2,Tony de Zorzi,Top order batter,batter,left,right arm offbreak,spin,right,South Africa,
T Stubbs,1,Tristan Stubbs,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,South Africa,wk
G Coetzee,2,Gerald Coetzee,Bowler,bowler,right,right arm fast,pace,right,South Africa,
JJ Roy,40,Jason Roy,Opening batter,batter,right,,,,England,
JM Bairstow,32,Jonny Bairstow,Wicketkeeper batter,batter,right,right arm medium,pace,right,England,wk
JE Root,26,Joe Root,Top order batter,batter,right,right arm offbreak,spin,right,England,legbreak
EJG Morgan,26,Eoin Morgan,Middle order batter,batter,right,right arm medium,pace,right,England,
BA Stokes,21,Ben Stokes,Allrounder,allrounder,left,right arm fast medium,pace,right,England,
JC Buttler,34,Jos Buttler,Wicketkeeper batter,batter,right,,,,England,wk
MM Ali,33,Moeen Ali,Batting allrounder,allrounder,left,right arm offbreak,spin,right,England,
CR Woakes,24,Chris Woakes,Allrounder,allrounder,right,right arm fast medium,pace,right,England,
LE Plunkett,7,Liam Plunkett,Bowler,bowler,right,right arm fast,pace,right,England,
JC Archer,18,Jofra Archer,Bowler,bowler,right,right arm fast,pace,right,England,
AU Rashid,37,Adil Rashid,Bowler,bowler,right,legbreak,spin,right,England,
MA Wood,18,Mark Wood,Bowler,bowler,right,right arm fast,pace,right,England,
JM Vince,15,James Vince,Batter,batter,right,right arm medium,pace,right,England,
JL Denly,3,Joe Denly,Top order batter,batter,right,legbreak,spin,right,England,
T Banton,6,Tom Banton,Wicketkeeper batter,batter,right,,,,England,wk
SM Curran,21,Sam Curran,Allrounder,allrounder,left,left arm medium fast,pace,left,England,
TK Curran,11,Tom Curran,Bowling allrounder,allrounder,right,right arm fast medium,pace,right,England,
CJ Jordan,4,Chris Jordan,Bowler,bowler,right,right arm fast medium,pace,right,England,
MW Parkinson,5,Matt Parkinson,Bowler,bowler,right,legbreak,spin,right,England,
S Mahmood,8,Saqib Mahmood,Bowler,bowler,right,right arm fast medium,pace,right,England,
SW Billings,13,Sam Billings,Wicketkeeper batter,batter,right,,,,England,wk
DJ Willey,18,David Willey,Bowling allrounder,allrounder,left,left arm fast medium,pace,left,England,
RJW Topley,12,Reece Topley,Bowler,bowler,right,left arm fast medium,pace,left,England,
DJ Malan,17,Dawid Malan,Top order batter,batter,left,legbreak,spin,right,England,
LS Livingstone,12,Liam Livingstone,Batting allrounder,allrounder,right,right arm offbreak,spin,right,England,legbreak
PD Salt,14,Phil Salt,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,England,wk
Z Crawley,3,Zak Crawley,Top order batter,batter,right,right arm offbreak,spin,right,England,
JA Simpson,3,John Simpson,Wicketkeeper batter,batter,left,,,,England,wk
L Gregory,3,Lewis Gregory,Allrounder,allrounder,right,right arm medium fast,pace,right,England,
C Overton,6,Craig Overton,Bowling allrounder,allrounder,right,right arm medium fast,pace,right,England,
BA Carse,9,Brydon Carse,Bowler,bowler,right,right arm fast,pace,right,England,
DA Payne,1,David Payne,Bowler,bowler,right,left arm fast medium,pace,left,England,
MJ Potts,1,Matthew Potts,Bowler,bowler,right,right arm fast medium,pace,right,England,
LA Dawson,3,Liam Dawson,Allrounder,allrounder,right,slow left arm orthodox,spin,left,England,
L Wood,1,Luke Wood,Bowling allrounder,allrounder,left,left arm fast medium,pace,left,England,
OP Stone,4,Olly Stone,Bowler,bowler,right,right arm fast,pace,right,England,
WG Jacks,2,Will Jacks,Batting allrounder,batter,right,right arm offbreak,spin,right,England,
Rehan Ahmed,1,Rehan Ahmed,Bowling allrounder,allrounder,right,legbreak googly,spin,right,England,
BM Duckett,3,Ben Duckett,Top order batter,batter,left,right arm offbreak,spin,right,England,
HC Brook,3,Harry Brook,Batter,batter,right,right arm medium,pace,right,England,
Tamim Iqbal,48,Tamim Iqbal,Opening batter,batter,left,,,,Bangladesh,
Soumya Sarkar,17,Soumya Sarkar,Middle order batter,batter,left,right arm medium fast,pace,right,Bangladesh,
Mohammad Mithun,16,Mohammad Mithun,Top order batter,batter,right,right arm offbreak,spin,right,Bangladesh,wk
Mushfiqur Rahim,46,Mushfiqur Rahim,Wicketkeeper batter,batter,right,,,,Bangladesh,wk
Mahmudullah,43,Mahmudullah,Allrounder,allrounder,right,right arm offbreak,spin,right,Bangladesh,
Sabbir Rahman,5,Sabbir Rahman,Middle order batter,batter,right,legbreak,spin,right,Bangladesh,
Mosaddek Hossain,17,Mosaddek Hossain,Middle order batter,batter,right,right arm offbreak,spin,right,Bangladesh,
Mehedi Hasan Miraz,49,Mehidy Hasan Miraz,Allrounder,allrounder,right,right arm offbreak,spin,right,Bangladesh,
Shafiul Islam,4,Shafiul Islam,Bowler,bowler,right,right arm fast medium,pace,right,Bangladesh,
Rubel Hossain,7,Rubel Hossain,Bowler,bowler,right,right arm fast,pace,right,Bangladesh,
Mustafizur Rahman,43,Mustafizur Rahman,Bowler,bowler,left,left arm fast medium,pace,left,Bangladesh,
Taijul Islam,14,Taijul Islam,Bowler,bowler,left,slow left arm orthodox,spin,left,Bangladesh,
Anamul Haque,7,Anamul Haque,Wicketkeeper batter,batter,right,,,,Bangladesh,wk
Shakib Al Hasan,37,Shakib Al Hasan,Allrounder,allrounder,left,slow left arm orthodox,spin,left,Bangladesh,
Mohammad Saifuddin,16,Mohammad Saifuddin,Bowling allrounder,allrounder,left,right arm medium fast,pace,right,Bangladesh,
Mashrafe Mortaza,11,Mashrafe Mortaza,Bowler,bowler,right,right arm fast medium,pace,right,Bangladesh,
Liton Das,44,Litton Das,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,Bangladesh,wk
Nazmul Hossain Shanto,24,Najmul Hossain Shanto,Top order batter,batter,left,right arm offbreak,spin,right,Bangladesh,
Al-Amin Hossain,1,Al-Amin Hossain,Bowler,bowler,right,right arm medium fast,pace,right,Bangladesh,
Afif Hossain,28,Afif Hossain,Allrounder,allrounder,left,right arm offbreak,spin,right,Bangladesh,
Mohammad Naim,4,Mohammad Naim,Opening batter,batter,left,,,,Bangladesh,
Mahedi Hasan,3,Mahedi Hasan,Allrounder,allrounder,right,right arm offbreak,spin,right,Bangladesh,
Taskin Ahmed,27,Taskin Ahmed,Bowler,bowler,left,right arm fast,pace,right,Bangladesh,
Hasan Mahmud,13,Hasan Mahmud,Bowler,bowler,right,right arm fast medium,pace,right,Bangladesh,
Shoriful Islam,17,Shoriful Islam,Bowler,bowler,left,left arm medium fast,pace,left,Bangladesh,
Nurul Hasan,4,Nurul Hasan,Wicketkeeper batter,batter,right,,,,Bangladesh,wk
Yasir Ali Chowdhury,9,Yasir Ali,Middle order batter,batter,right,right arm offbreak,spin,right,Bangladesh,
Ebadat Hossain,12,Ebadot Hossain,Bowler,bowler,right,right arm fast medium,pace,right,Bangladesh,
Nasum Ahmed,7,Nasum Ahmed,Bowler,bowler,left,slow left arm orthodox,spin,left,Bangladesh,
Towhid Hridoy,9,Towhid Hridoy,Top order batter,batter,right,right arm offbreak,spin,right,Bangladesh,
Rony Talukdar,1,Rony Talukdar,Batter,batter,right,right arm slow medium,pace,right,Bangladesh,
Mrittunjoy Chowdhury,1,Mrittunjoy Chowdhury,Bowler,bowler,left,left arm medium fast,pace,left,Bangladesh,
AJ Finch,37,Aaron Finch,Top order batter,batter,right,slow left arm orthodox,spin,left,Australia,
DA Warner,36,David Warner,Opening batter,batter,left,legbreak,spin,right,Australia,
UT Khawaja,9,Usman Khawaja,Top order batter,batter,left,right arm medium,pace,right,Australia,
SPD Smith,34,Steven Smith,Middle order batter,batter,right,legbreak googly,spin,right,Australia,
GJ Maxwell,28,Glenn Maxwell,Batting allrounder,allrounder,right,right arm offbreak,spin,right,Australia,
MP Stoinis,27,Marcus Stoinis,Batting allrounder,allrounder,right,right arm medium,pace,right,Australia,
AT Carey,45,Alex Carey,Wicketkeeper batter,batter,left,,,,Australia,wk
NM Coulter-Nile,5,Nathan Coulter-Nile,Bowling allrounder,allrounder,right,right arm fast,pace,right,Australia,
PJ Cummins,27,Pat Cummins,Bowler,bowler,right,right arm fast,pace,right,Australia,
MA Starc,35,Mitchell Starc,Bowler,bowler,left,left arm fast ,pace,left,Australia,
A Zampa,35,Adam Zampa,Bowler,bowler,right,legbreak googly,spin,right,Australia,
SE Marsh,2,Shaun Marsh,Top order batter,batter,left,slow left arm orthodox,spin,left,Australia,
KW Richardson,5,Kane Richardson,Bowler,bowler,right,right arm fast medium,pace,right,Australia,
JP Behrendorff,6,Jason Behrendorff,Bowler,bowler,right,left arm fast medium,pace,left,Australia,
NM Lyon,4,Nathan Lyon,Bowler,bowler,right,right arm offbreak,spin,right,Australia,
PSP Handscomb,1,Peter Handscomb,Batter,batter,right,,,,Australia,wk
M Labuschagne,30,Marnus Labuschagne,Batting allrounder,allrounder,right,legbreak,spin,right,Australia,
AJ Turner,6,Ashton Turner,Middle order batter,batter,right,right arm offbreak,spin,right,Australia,
AC Agar,12,Ashton Agar,Bowler,bowler,left,slow left arm orthodox,spin,left,Australia,
JR Hazlewood,25,Josh Hazlewood,Bowler,bowler,left,right arm fast medium,pace,right,Australia,
MR Marsh,19,Mitchell Marsh,Allrounder,allrounder,right,right arm medium,pace,right,Australia,
DJM Short,4,D'Arcy Short,Opening batter,batter,left,left arm wrist spin,spin,left,Australia,
JA Richardson,3,Jhye Richardson,Bowler,bowler,right,right arm fast,pace,right,Australia,
MC Henriques,5,Moises Henriques,Allrounder,allrounder,right,right arm fast medium,pace,right,Australia,
C Green,15,Cameron Green,Batting allrounder,allrounder,right,right arm fast medium,pace,right,Australia,
SA Abbott,10,Sean Abbott,Bowling allrounder,allrounder,right,right arm fast medium,pace,right,Australia,
JR Philippe,3,Josh Philippe,Wicketkeeper batter,batter,right,,,,Australia,wk
BR McDermott,5,Ben McDermott,Wicketkeeper batter,batter,right,right arm medium,pace,right,Australia,wk
MS Wade,3,Matthew Wade,Wicketkeeper batter,batter,left,right arm medium,pace,right,Australia,
WA Agar,2,Wes Agar,Bowler,bowler,right,right arm fast,pace,right,Australia,
RP Meredith,1,Riley Meredith,Bowler,bowler,right,right arm fast,pace,right,Australia,
DT Christian,1,Dan Christian,Allrounder,allrounder,right,right arm fast medium,pace,right,Australia,
TM Head,12,Travis Head,Middle order batter,batter,left,right arm offbreak,spin,right,Australia,
NT Ellis,4,Nathan Ellis,Bowler,bowler,right,right arm fast medium,pace,right,Australia,
MJ Swepson,3,Mitchell Swepson,Bowler,bowler,right,legbreak,spin,right,Australia,
MP Kuhnemann,4,Matthew Kuhnemann,Bowler,bowler,left,slow left arm orthodox,spin,left,Australia,
JP Inglis,3,Josh Inglis,Wicketkeeper batter,batter,right,,,,Australia,wk
Zawar Farid,2,Zawar Farid,Bowler,bowler,right,right arm medium,pace,right,UAE,
V Aravind,11,Vriitya Aravind,Wicketkeeper batter,batter,right,,,,UAE,wk
CP Rizwan,2,Chundangapoyil Rizwan,Middle order batter,batter,right,legbreak googly,spin,right,UAE,
A Sharafu,1,Alishan Sharafu,Opening batter,batter,right,right arm medium,pace,right,UAE,
Muhammad Usman,2,Muhammad Usman,Middle order batter,batter,left,,,,UAE,
Waheed Ahmed,2,Waheed Ahmed,Bowler,bowler,right,right arm medium,pace,right,UAE,
Rohan Mustafa,9,Rohan Mustafa,Top order batter,batter,left,right arm offbreak,spin,right,UAE,
Ahmed Raza,2,Ahmed Raza,Bowler,bowler,right,slow left arm orthodox,spin,left,UAE,
Zahoor Khan,7,Zahoor Khan,Bowler,bowler,right,right arm medium fast,pace,right,UAE,
KP Meiyappan,10,Karthik Meiyappan,Bowler,bowler,right,legbreak,spin,right,UAE,
Kashif Daud,2,Kashif Daud,Bowling allrounder,allrounder,right,right arm medium fast,pace,right,UAE,
Basil Hameed,8,Basil Hameed,Middle order batter,batter,right,right arm offbreak,spin,right,UAE,
Waseem Muhammad,7,Muhammad Waseem,Opening batter,batter,right,right arm medium,pace,right,UAE,
Asif Khan,7,Asif Khan,Batter,batter,right,right arm offbreak,spin,right,UAE,
Rameez Shahzad,5,Rameez Shahzad,Top order batter,batter,right,right arm offbreak,spin,right,UAE,
Ali Naseer,9,Ali Naseer,Allrounder,allrounder,left,right arm medium,pace,right,UAE,
Aayan Afzal Khan,8,Aayan Afzal Khan,Bowling allrounder,allrounder,right,slow left arm orthodox,spin,left,UAE,
Muhammad Jawadullah,5,Muhammad Jawadullah,Bowler,bowler,left,left arm fast medium,pace,left,UAE,
Junaid Siddique,7,Junaid Siddique,Bowler,bowler,right,right arm medium fast,pace,right,UAE,
A Sharma,6,Aryansh Sharma,Wicketkeeper batter,batter,right,,,,UAE,wk
Ethan D'Souza,3,Ethan D'Souza,Batter,batter,left,right arm offbreak,spin,right,UAE,
SM Sharma,4,Sanchit Sharma,Bowler,bowler,right,right arm medium,pace,right,UAE,
Lovepreet Singh,2,Lovepreet Singh,Batter,batter,right,legbreak googly,spin,right,UAE,
Adhitya Shetty,1,Adhitya Shetty,Bowler,bowler,right,legbreak googly,spin,right,UAE,
Imam-ul-Haq,31,Imam-ul-Haq,Top order batter,batter,left,,,,Pakistan,
Fakhar Zaman,34,Fakhar Zaman,Opening batter,batter,left,slow left arm orthodox,spin,left,Pakistan,
Babar Azam,36,Babar Azam,Batter,batter,right,right arm offbreak,spin,right,Pakistan,
Haris Sohail,11,Haris Sohail,Middle order batter,batter,left,slow left arm orthodox,spin,left,Pakistan,
Sarfraz Ahmed,11,Sarfaraz Ahmed,Wicketkeeper batter,batter,right,right arm offbreak,spin,right,Pakistan,wk
Mohammad Hafeez,8,Mohammad Hafeez,Allrounder,allrounder,right,right arm offbreak,spin,right,Pakistan,
Imad Wasim,9,Imad Wasim,Allrounder,allrounder,left,slow left arm orthodox,spin,left,Pakistan,
Shadab Khan,22,Shadab Khan,Allrounder,allrounder,right,legbreak,spin,right,Pakistan,
Hasan Ali,11,Hasan Ali,Bowler,bowler,right,right arm medium fast,pace,right,Pakistan,
Wahab Riaz,12,Wahab Riaz,Bowler,bowler,right,left arm fast,pace,left,Pakistan,
Mohammad Amir,10,Mohammad Amir,Bowler,bowler,left,left arm fast medium,pace,left,Pakistan,
Asif Ali,5,Asif Ali,Middle order batter,batter,right,right arm offbreak,spin,right,Pakistan,
Shoaib Malik,3,Shoaib Malik,Allrounder,allrounder,right,right arm offbreak,spin,right,Pakistan,
Shaheen Shah Afridi,22,Shaheen Shah Afridi,Bowler,bowler,left,left arm fast,pace,left,Pakistan,
Iftikhar Ahmed,10,Iftikhar Ahmed,Middle order batter,batter,right,right arm offbreak,spin,right,Pakistan,
Usman Shinwari,2,Usman Shinwari,Bowler,bowler,right,left arm medium fast,pace,left,Pakistan,
Abid Ali,3,Abid Ali,Opening batter,batter,right,legbreak,spin,right,Pakistan,
Mohammad Rizwan,25,Mohammad Rizwan,Wicketkeeper batter,batter,right,,,,Pakistan,
Faheem Ashraf,8,Faheem Ashraf,Bowling allrounder,allrounder,left,right arm medium,pace,right,Pakistan,wk
Haris Rauf,22,Haris Rauf,Bowler,bowler,right,right arm fast,pace,right,Pakistan,
Haider Ali,2,Haider Ali,Middle order batter,batter,right,,,,Pakistan,
Muhammad Musa,2,Muhammad Musa,Bowler,bowler,right,right arm fast medium,pace,right,Pakistan,
Khushdil Shah,10,Khushdil Shah,Middle order batter,batter,left,slow left arm orthodox,spin,left,Pakistan,
Mohammad Hasnain,4,Mohammad Hasnain,Bowler,bowler,right,right arm fast,pace,right,Pakistan,
Saud Shakeel,5,Saud Shakeel,Middle order batter,batter,left,left arm slow,spin,left,Pakistan,
Sohaib Maqsood,3,Sohaib Maqsood,Middle order batter,batter,right,right arm offbreak,spin,right,Pakistan,
Danish Aziz,2,Danish Aziz,Allrounder,allrounder,left,slow left arm orthodox,spin,left,Pakistan,
Usman Qadir,1,Usman Qadir,Bowler,bowler,left,legbreak,spin,right,Pakistan,
Mohammad Wasim,14,Mohammad Wasim,Allrounder,allrounder,right,right arm fast medium,pace,right,Pakistan,
Zahid Mahmood,4,Zahid Mahmood,Bowler,bowler,right,legbreak,spin,right,Pakistan,
Mohammad Nawaz,14,Mohammad Nawaz,Allrounder,allrounder,left,slow left arm orthodox,spin,left,Pakistan,
Agha Salman,11,Agha Salman,Allrounder,allrounder,right,right arm offbreak,spin,right,Pakistan,
Naseem Shah,8,Naseem Shah,Bowler,bowler,right,right arm fast,pace,right,Pakistan,
Abdullah Shafique,3,Abdullah Shafique,Top order batter,batter,right,right arm offbreak,spin,right,Pakistan,
Mohammad Haris,5,Mohammad Haris,Middle order batter,batter,right,right arm offbreak,spin,right,Pakistan,
Shahnawaz Dhani,2,Shahnawaz Dhani,Bowler,bowler,right,right arm fast medium,pace,right,Pakistan,
Usama Mir,6,Usama Mir,Bowler,bowler,right,legbreak,spin,right,Pakistan,
Shan Masood,4,Shan Masood,Opening batter,batter,left,right arm medium fast,pace,right,Pakistan,
Kamran Ghulam,1,Kamran Ghulam,Allrounder,allrounder,right,slow left arm orthodox,spin,left,Pakistan,
